fips,state_abbr,state_full,jurisdiction_name,year,transmitted_total,returned_by_voters,counted_total,rejected_total,reason_sum,rejection_rate,usable,dup_resolved,waves_present,treated,sensitivity_treated,mechanism,confidence,pa_partial,de_edge_case,notes,in_scope,flagged_outlier
0000000775,WI,WISCONSIN,TOWN OF ALBANY - GREEN COUNTY,2022,61.0,55.0,55.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000775,WI,WISCONSIN,TOWN OF ALBANY - GREEN COUNTY,2024,113.0,110.0,110.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000800,WI,WISCONSIN,TOWN OF ALBANY - PEPIN COUNTY,2016,14.0,6.0,6.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000800,WI,WISCONSIN,TOWN OF ALBANY - PEPIN COUNTY,2018,5.0,5.0,5.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000800,WI,WISCONSIN,TOWN OF ALBANY - PEPIN COUNTY,2020,110.0,85.0,85.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000800,WI,WISCONSIN,TOWN OF ALBANY - PEPIN COUNTY,2022,10.0,8.0,8.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000800,WI,WISCONSIN,TOWN OF ALBANY - PEPIN COUNTY,2024,22.0,20.0,20.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000875,WI,WISCONSIN,TOWN OF ALBION - DANE COUNTY,2016,15.0,14.0,14.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000875,WI,WISCONSIN,TOWN OF ALBION - DANE COUNTY,2018,25.0,21.0,21.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000875,WI,WISCONSIN,TOWN OF ALBION - DANE COUNTY,2020,394.0,356.0,356.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000875,WI,WISCONSIN,TOWN OF ALBION - DANE COUNTY,2022,128.0,110.0,110.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000875,WI,WISCONSIN,TOWN OF ALBION - DANE COUNTY,2024,160.0,148.0,148.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000900,WI,WISCONSIN,TOWN OF ALBION - JACKSON COUNTY,2016,8.0,7.0,7.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000900,WI,WISCONSIN,TOWN OF ALBION - JACKSON COUNTY,2018,17.0,15.0,15.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000900,WI,WISCONSIN,TOWN OF ALBION - JACKSON COUNTY,2020,169.0,143.0,143.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000900,WI,WISCONSIN,TOWN OF ALBION - JACKSON COUNTY,2022,31.0,31.0,31.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000900,WI,WISCONSIN,TOWN OF ALBION - JACKSON COUNTY,2024,59.0,55.0,55.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000925,WI,WISCONSIN,TOWN OF ALBION - TREMPEALEAU COUNTY,2016,9.0,9.0,9.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000925,WI,WISCONSIN,TOWN OF ALBION - TREMPEALEAU COUNTY,2018,11.0,3.0,3.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000925,WI,WISCONSIN,TOWN OF ALBION - TREMPEALEAU COUNTY,2020,98.0,85.0,85.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000925,WI,WISCONSIN,TOWN OF ALBION - TREMPEALEAU COUNTY,2022,26.0,24.0,24.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000925,WI,WISCONSIN,TOWN OF ALBION - TREMPEALEAU COUNTY,2024,46.0,41.0,41.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000950,WI,WISCONSIN,TOWN OF ALDEN - POLK COUNTY,2016,74.0,74.0,73.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000950,WI,WISCONSIN,TOWN OF ALDEN - POLK COUNTY,2018,147.0,140.0,140.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000950,WI,WISCONSIN,TOWN OF ALDEN - POLK COUNTY,2020,1073.0,1021.0,1021.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
